source_id,source_type,target_id,target_type,type,severity,frequency,efficacy,first_line,interaction_type,description
SYM_013,Symptom,DIS_00005,Disease,CAUSED_BY,,,,,,
DIS_00005,Disease,DRG_0084,drug,TREATED_BY,,,high,True,,
DIS_00005,Disease,DRG_0050,drug,TREATED_BY,,,low,False,,
DIS_00006,Disease,SYM_002,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_002,Symptom,DIS_00006,Disease,CAUSED_BY,,,,,,
DIS_00006,Disease,SYM_015,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_015,Symptom,DIS_00006,Disease,CAUSED_BY,,,,,,
DIS_00006,Disease,SYM_021,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_021,Symptom,DIS_00006,Disease,CAUSED_BY,,,,,,
DIS_00006,Disease,DRG_0026,drug,TREATED_BY,,,variable,True,,
DIS_00007,Disease,SYM_016,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_016,Symptom,DIS_00007,Disease,CAUSED_BY,,,,,,
DIS_00007,Disease,SYM_032,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_032,Symptom,DIS_00007,Disease,CAUSED_BY,,,,,,
DIS_00007,Disease,SYM_002,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_002,Symptom,DIS_00007,Disease,CAUSED_BY,,,,,,
DIS_00007,Disease,DRG_0081,drug,TREATED_BY,,,low,True,,
DIS_00007,Disease,DRG_0065,drug,TREATED_BY,,,low,True,,
DIS_00008,Disease,SYM_025,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_025,Symptom,DIS_00008,Disease,CAUSED_BY,,,,,,
DIS_00008,Disease,SYM_015,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_015,Symptom,DIS_00008,Disease,CAUSED_BY,,,,,,
DIS_00008,Disease,SYM_026,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_026,Symptom,DIS_00008,Disease,CAUSED_BY,,,,,,
DIS_00008,Disease,SYM_047,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_047,Symptom,DIS_00008,Disease,CAUSED_BY,,,,,,
DIS_00008,Disease,SYM_027,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_027,Symptom,DIS_00008,Disease,CAUSED_BY,,,,,,
DIS_00008,Disease,DRG_0040,drug,TREATED_BY,,,low,False,,
DIS_00008,Disease,DRG_0070,drug,TREATED_BY,,,moderate,True,,
DIS_00009,Disease,SYM_038,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_038,Symptom,DIS_00009,Disease,CAUSED_BY,,,,,,
DIS_00009,Disease,SYM_020,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_020,Symptom,DIS_00009,Disease,CAUSED_BY,,,,,,
DIS_00009,Disease,SYM_010,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_010,Symptom,DIS_00009,Disease,CAUSED_BY,,,,,,
DIS_00009,Disease,SYM_005,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_005,Symptom,DIS_00009,Disease,CAUSED_BY,,,,,,
DIS_00009,Disease,TRT_0023,treatment,TREATED_BY,,,moderate,True,,
DIS_00009,Disease,TRT_0013,treatment,TREATED_BY,,,low,False,,
DIS_00010,Disease,SYM_020,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_020,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,SYM_010,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_010,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,SYM_009,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_009,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,SYM_049,Symptom,HAS_SYMPTOM,severe,intermittent,,,,
SYM_049,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,SYM_039,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_039,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,SYM_044,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_044,Symptom,DIS_00010,Disease,CAUSED_BY,,,,,,
DIS_00010,Disease,TRT_0004,treatment,TREATED_BY,,,variable,True,,
DIS_00011,Disease,SYM_046,Symptom,HAS_SYMPTOM,severe,intermittent,,,,
SYM_046,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,SYM_025,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_025,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,SYM_009,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_009,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,SYM_015,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_015,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,SYM_049,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_049,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,SYM_027,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_027,Symptom,DIS_00011,Disease,CAUSED_BY,,,,,,
DIS_00011,Disease,DRG_0009,drug,TREATED_BY,,,moderate,False,,
DIS_00012,Disease,SYM_045,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_045,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,SYM_016,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_016,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,SYM_003,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_003,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,SYM_026,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_026,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,SYM_029,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_029,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,SYM_016,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_016,Symptom,DIS_00012,Disease,CAUSED_BY,,,,,,
DIS_00012,Disease,DRG_0050,drug,TREATED_BY,,,high,True,,
DIS_00012,Disease,DRG_0038,drug,TREATED_BY,,,variable,False,,
DIS_00012,Disease,TRT_0029,treatment,TREATED_BY,,,low,False,,
DIS_00013,Disease,SYM_011,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_011,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,SYM_040,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_040,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,SYM_030,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_030,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,SYM_047,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_047,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,SYM_038,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_038,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,SYM_027,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_027,Symptom,DIS_00013,Disease,CAUSED_BY,,,,,,
DIS_00013,Disease,DRG_0023,drug,TREATED_BY,,,variable,True,,
DIS_00014,Disease,SYM_006,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_006,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,SYM_045,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_045,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,SYM_006,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_006,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,SYM_041,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_041,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,SYM_034,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_034,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,SYM_025,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_025,Symptom,DIS_00014,Disease,CAUSED_BY,,,,,,
DIS_00014,Disease,TRT_0032,treatment,TREATED_BY,,,low,True,,
DIS_00015,Disease,SYM_010,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_010,Symptom,DIS_00015,Disease,CAUSED_BY,,,,,,
DIS_00015,Disease,SYM_027,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_027,Symptom,DIS_00015,Disease,CAUSED_BY,,,,,,
DIS_00015,Disease,SYM_047,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_047,Symptom,DIS_00015,Disease,CAUSED_BY,,,,,,
DIS_00015,Disease,SYM_041,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_041,Symptom,DIS_00015,Disease,CAUSED_BY,,,,,,
DIS_00015,Disease,DRG_0026,drug,TREATED_BY,,,high,False,,
DIS_00016,Disease,SYM_030,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_030,Symptom,DIS_00016,Disease,CAUSED_BY,,,,,,
DIS_00016,Disease,SYM_035,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_035,Symptom,DIS_00016,Disease,CAUSED_BY,,,,,,
DIS_00016,Disease,SYM_016,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_016,Symptom,DIS_00016,Disease,CAUSED_BY,,,,,,
DIS_00016,Disease,DRG_0053,drug,TREATED_BY,,,variable,True,,
DIS_00016,Disease,DRG_0077,drug,TREATED_BY,,,high,True,,
DIS_00017,Disease,SYM_040,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_040,Symptom,DIS_00017,Disease,CAUSED_BY,,,,,,
DIS_00017,Disease,SYM_012,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_012,Symptom,DIS_00017,Disease,CAUSED_BY,,,,,,
DIS_00017,Disease,SYM_042,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_042,Symptom,DIS_00017,Disease,CAUSED_BY,,,,,,
DIS_00017,Disease,SYM_010,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_010,Symptom,DIS_00017,Disease,CAUSED_BY,,,,,,
DIS_00017,Disease,SYM_022,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_022,Symptom,DIS_00017,Disease,CAUSED_BY,,,,,,
DIS_00017,Disease,DRG_0054,drug,TREATED_BY,,,moderate,True,,
DIS_00018,Disease,SYM_040,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_040,Symptom,DIS_00018,Disease,CAUSED_BY,,,,,,
DIS_00018,Disease,SYM_048,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_048,Symptom,DIS_00018,Disease,CAUSED_BY,,,,,,
DIS_00018,Disease,SYM_006,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_006,Symptom,DIS_00018,Disease,CAUSED_BY,,,,,,
DIS_00018,Disease,SYM_024,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_024,Symptom,DIS_00018,Disease,CAUSED_BY,,,,,,
DIS_00018,Disease,SYM_049,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_049,Symptom,DIS_00018,Disease,CAUSED_BY,,,,,,
DIS_00018,Disease,DRG_0061,drug,TREATED_BY,,,moderate,True,,
DIS_00018,Disease,TRT_0004,treatment,TREATED_BY,,,low,False,,
DIS_00019,Disease,SYM_034,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_034,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,SYM_040,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_040,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,SYM_037,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_037,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,SYM_047,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_047,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,SYM_039,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_039,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,SYM_034,Symptom,HAS_SYMPTOM,severe,intermittent,,,,
SYM_034,Symptom,DIS_00019,Disease,CAUSED_BY,,,,,,
DIS_00019,Disease,DRG_0073,drug,TREATED_BY,,,variable,False,,
DIS_00019,Disease,DRG_0064,drug,TREATED_BY,,,moderate,True,,
DIS_00019,Disease,TRT_0006,treatment,TREATED_BY,,,low,True,,
DIS_00020,Disease,SYM_008,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_008,Symptom,DIS_00020,Disease,CAUSED_BY,,,,,,
DIS_00020,Disease,SYM_041,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_041,Symptom,DIS_00020,Disease,CAUSED_BY,,,,,,
DIS_00020,Disease,SYM_040,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_040,Symptom,DIS_00020,Disease,CAUSED_BY,,,,,,
DIS_00020,Disease,DRG_0043,drug,TREATED_BY,,,low,True,,
DIS_00021,Disease,SYM_041,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_041,Symptom,DIS_00021,Disease,CAUSED_BY,,,,,,
DIS_00021,Disease,SYM_017,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_017,Symptom,DIS_00021,Disease,CAUSED_BY,,,,,,
DIS_00021,Disease,SYM_020,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_020,Symptom,DIS_00021,Disease,CAUSED_BY,,,,,,
DIS_00021,Disease,TRT_0003,treatment,TREATED_BY,,,low,False,,
DIS_00022,Disease,SYM_047,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_047,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,SYM_013,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_013,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,SYM_044,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_044,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,SYM_003,Symptom,HAS_SYMPTOM,moderate,constant,,,,
SYM_003,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,SYM_010,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_010,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,SYM_030,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_030,Symptom,DIS_00022,Disease,CAUSED_BY,,,,,,
DIS_00022,Disease,DRG_0039,drug,TREATED_BY,,,low,True,,
DIS_00022,Disease,DRG_0027,drug,TREATED_BY,,,low,False,,
DIS_00022,Disease,DRG_0009,drug,TREATED_BY,,,moderate,False,,
DIS_00023,Disease,SYM_022,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_022,Symptom,DIS_00023,Disease,CAUSED_BY,,,,,,
DIS_00023,Disease,SYM_037,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_037,Symptom,DIS_00023,Disease,CAUSED_BY,,,,,,
DIS_00023,Disease,SYM_039,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_039,Symptom,DIS_00023,Disease,CAUSED_BY,,,,,,
DIS_00023,Disease,TRT_0025,treatment,TREATED_BY,,,low,True,,
DIS_00023,Disease,DRG_0035,drug,TREATED_BY,,,variable,True,,
DIS_00023,Disease,DRG_0064,drug,TREATED_BY,,,moderate,False,,
DIS_00024,Disease,SYM_020,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_020,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,SYM_012,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_012,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,SYM_003,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_003,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,SYM_029,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_029,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,SYM_033,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_033,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,SYM_022,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_022,Symptom,DIS_00024,Disease,CAUSED_BY,,,,,,
DIS_00024,Disease,DRG_0019,drug,TREATED_BY,,,high,True,,
DIS_00024,Disease,DRG_0027,drug,TREATED_BY,,,high,False,,
DIS_00025,Disease,SYM_046,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_046,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,SYM_020,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_020,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,SYM_022,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_022,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,SYM_007,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_007,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,SYM_037,Symptom,HAS_SYMPTOM,severe,intermittent,,,,
SYM_037,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,SYM_021,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_021,Symptom,DIS_00025,Disease,CAUSED_BY,,,,,,
DIS_00025,Disease,DRG_0036,drug,TREATED_BY,,,low,False,,
DIS_00025,Disease,TRT_0001,treatment,TREATED_BY,,,high,False,,
DIS_00026,Disease,SYM_011,Symptom,HAS_SYMPTOM,severe,occasional,,,,
SYM_011,Symptom,DIS_00026,Disease,CAUSED_BY,,,,,,
DIS_00026,Disease,SYM_001,Symptom,HAS_SYMPTOM,mild,intermittent,,,,
SYM_001,Symptom,DIS_00026,Disease,CAUSED_BY,,,,,,
DIS_00026,Disease,SYM_035,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_035,Symptom,DIS_00026,Disease,CAUSED_BY,,,,,,
DIS_00026,Disease,SYM_018,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_018,Symptom,DIS_00026,Disease,CAUSED_BY,,,,,,
DIS_00026,Disease,DRG_0032,drug,TREATED_BY,,,moderate,True,,
DIS_00026,Disease,DRG_0040,drug,TREATED_BY,,,low,False,,
DIS_00026,Disease,DRG_0007,drug,TREATED_BY,,,moderate,True,,
DIS_00027,Disease,SYM_044,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_044,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,SYM_025,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_025,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,SYM_028,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_028,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,SYM_046,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_046,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,SYM_020,Symptom,HAS_SYMPTOM,severe,intermittent,,,,
SYM_020,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,SYM_046,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_046,Symptom,DIS_00027,Disease,CAUSED_BY,,,,,,
DIS_00027,Disease,DRG_0017,drug,TREATED_BY,,,high,False,,
DIS_00027,Disease,DRG_0013,drug,TREATED_BY,,,variable,False,,
DIS_00027,Disease,TRT_0003,treatment,TREATED_BY,,,variable,False,,
DIS_00028,Disease,SYM_015,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_015,Symptom,DIS_00028,Disease,CAUSED_BY,,,,,,
DIS_00028,Disease,SYM_024,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_024,Symptom,DIS_00028,Disease,CAUSED_BY,,,,,,
DIS_00028,Disease,SYM_045,Symptom,HAS_SYMPTOM,severe,persistent,,,,
SYM_045,Symptom,DIS_00028,Disease,CAUSED_BY,,,,,,
DIS_00028,Disease,SYM_030,Symptom,HAS_SYMPTOM,life-threatening,occasional,,,,
SYM_030,Symptom,DIS_00028,Disease,CAUSED_BY,,,,,,
DIS_00028,Disease,DRG_0061,drug,TREATED_BY,,,high,False,,
DIS_00029,Disease,SYM_030,Symptom,HAS_SYMPTOM,moderate,persistent,,,,
SYM_030,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,SYM_023,Symptom,HAS_SYMPTOM,moderate,occasional,,,,
SYM_023,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,SYM_026,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_026,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,SYM_036,Symptom,HAS_SYMPTOM,mild,persistent,,,,
SYM_036,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,SYM_035,Symptom,HAS_SYMPTOM,life-threatening,constant,,,,
SYM_035,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,SYM_038,Symptom,HAS_SYMPTOM,life-threatening,intermittent,,,,
SYM_038,Symptom,DIS_00029,Disease,CAUSED_BY,,,,,,
DIS_00029,Disease,DRG_0032,drug,TREATED_BY,,,moderate,False,,
DIS_00029,Disease,DRG_0050,drug,TREATED_BY,,,high,False,,
DIS_00029,Disease,DRG_0027,drug,TREATED_BY,,,variable,False,,
DIS_00030,Disease,SYM_035,Symptom,HAS_SYMPTOM,moderate,intermittent,,,,
SYM_035,Symptom,DIS_00030,Disease,CAUSED_BY,,,,,,
DIS_00030,Disease,SYM_043,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_043,Symptom,DIS_00030,Disease,CAUSED_BY,,,,,,
DIS_00030,Disease,SYM_008,Symptom,HAS_SYMPTOM,life-threatening,persistent,,,,
SYM_008,Symptom,DIS_00030,Disease,CAUSED_BY,,,,,,
DIS_00030,Disease,SYM_036,Symptom,HAS_SYMPTOM,mild,constant,,,,
SYM_036,Symptom,DIS_00030,Disease,CAUSED_BY,,,,,,
DIS_00030,Disease,SYM_012,Symptom,HAS_SYMPTOM,severe,constant,,,,
SYM_012,Symptom,DIS_00030,Disease,CAUSED_BY,,,,,,
DIS_00030,Disease,DRG_0077,drug,TREATED_BY,,,high,False,,
DIS_00031,Disease,SYM_032,Symptom,HAS_SYMPTOM,mild,occasional,,,,
SYM_032,Symptom,DIS_00031,Disease,CAUSED_BY,,,,,,
